CVE_AGEBC,NOM_MUN,NOM_LOC,NIVEL,area_techos_m2,factor_nse,score_solar,score_eficiencia
1904600011727,SAN NICOLÁS DE LOS GARZA,SAN NICOLÁS DE LOS GARZA,A/B,32765975.40043428,1.0,32765975.40043428,127289.50794334164
1900600011562,APODACA,CIUDAD APODACA,C+,17717951.428535715,0.9,15946156.285682144,123850.03695977486
1904600010875,SAN NICOLÁS DE LOS GARZA,SAN NICOLÁS DE LOS GARZA,C+,38254157.57031265,0.9,34428741.81328139,123234.64357827084
1903900011559,MONTERREY,MONTERREY,C+,35225117.17166513,0.9,31702605.45449862,122438.25745722419
1903900011671,MONTERREY,MONTERREY,C+,69333405.43432896,0.9,62400064.89089607,121704.73675000125
1904600011356,SAN NICOLÁS DE LOS GARZA,SAN NICOLÁS DE LOS GARZA,C+,55128045.313124046,0.9,49615240.78181164,120729.62829856158
1902600010177,GUADALUPE,GUADALUPE,A/B,37786096.94137654,1.0,37786096.94137654,120707.233761599
1903900011489,MONTERREY,MONTERREY,C+,40210555.95783457,0.9,36189500.362051114,120062.33532184131
1904600011040,SAN NICOLÁS DE LOS GARZA,SAN NICOLÁS DE LOS GARZA,C+,43118989.5172615,0.9,38807090.56553535,119847.54666117976
1903900011313,MONTERREY,MONTERREY,C+,63611745.51644201,0.9,57250570.96479781,119752.90523340093
1903900011525,MONTERREY,MONTERREY,C+,30286020.29256335,0.9,27257418.263307016,118832.98361316962
1903900012044,MONTERREY,MONTERREY,C+,20543886.815563582,0.9,18489498.134007223,118271.59135565942
190390001178A,MONTERREY,MONTERREY,C+,26388769.05391262,0.9,23749892.14852136,117274.22072238754
1902600011512,GUADALUPE,GUADALUPE,C+,17610035.19900098,0.9,15849031.679100882,117272.94112141519
1904600011159,SAN NICOLÁS DE LOS GARZA,SAN NICOLÁS DE LOS GARZA,C+,47353785.18712123,0.9,42618406.66840911,116532.12807439432
1903900011667,MONTERREY,MONTERREY,C+,35744842.76456181,0.9,32170358.48810563,116162.56041047694
1903900010902,MONTERREY,MONTERREY,C+,60158481.42797643,0.9,54142633.28517879,115838.46215123734
1903900010813,MONTERREY,MONTERREY,C+,63169360.80898932,0.9,56852424.72809039,115607.88365349526
1904600011746,SAN NICOLÁS DE LOS GARZA,SAN NICOLÁS DE LOS GARZA,C+,33188228.269880228,0.9,29869405.442892205,115607.10088938216
1903900011474,MONTERREY,MONTERREY,C+,53063675.43942144,0.9,47757307.89547929,115070.43712013957
1904600011568,SAN NICOLÁS DE LOS GARZA,SAN NICOLÁS DE LOS GARZA,C+,54989848.441610284,0.9,49490863.59744926,114453.4324861057
1904600011055,SAN NICOLÁS DE LOS GARZA,SAN NICOLÁS DE LOS GARZA,C+,58156717.33413192,0.9,52341045.60071873,114368.60960543837
1904600011498,SAN NICOLÁS DE LOS GARZA,SAN NICOLÁS DE LOS GARZA,A/B,34825224.82494579,1.0,34825224.82494579,113819.97189458864
1903900013748,MONTERREY,MONTERREY,A/B,37749388.10958566,1.0,37749388.10958566,113497.77782421985
190460001088A,SAN NICOLÁS DE LOS GARZA,SAN NICOLÁS DE LOS GARZA,C+,45140627.584764995,0.9,40626564.8262885,113390.36650288201
1904600010540,SAN NICOLÁS DE LOS GARZA,SAN NICOLÁS DE LOS GARZA,C+,53199091.05975586,0.9,47879181.95378028,113037.80389844305
190460001070A,SAN NICOLÁS DE LOS GARZA,SAN NICOLÁS DE LOS GARZA,A/B,105695888.56840575,1.0,105695888.56840575,112920.86550689237
190390001153A,MONTERREY,MONTERREY,C+,34571523.14452056,0.9,31114370.830068503,112748.58070408061
1902600011531,GUADALUPE,GUADALUPE,C+,39875700.683395,0.9,35888130.6150555,112716.26761203237
1904600010324,SAN NICOLÁS DE LOS GARZA,SAN NICOLÁS DE LOS GARZA,C+,30996049.77410192,0.9,27896444.79669173,112410.02798825144
1900600012804,APODACA,CIUDAD APODACA,C+,8159380.5293723,0.9,7343442.47643507,112198.83687916749
1902100011802,GENERAL ESCOBEDO,CIUDAD GENERAL ESCOBEDO,A/B,21972418.464352623,1.0,21972418.464352623,112081.36287895287
1903900012167,MONTERREY,MONTERREY,C+,52036564.90455628,0.9,46832908.414100654,111546.42990705342
1900600012433,APODACA,CIUDAD APODACA,C+,23631904.47431866,0.9,21268714.026886795,111505.32397835031
1902600012296,GUADALUPE,GUADALUPE,C+,47899223.5392653,0.9,43109301.185338765,111380.6863524089
1902600012737,GUADALUPE,GUADALUPE,A/B,1212220.298788028,1.0,1212220.298788028,111285.79278647341
1902600010336,GUADALUPE,GUADALUPE,C+,43725357.53100327,0.9,39352821.77790294,111149.00206991476
1900600011295,APODACA,CIUDAD APODACA,C+,18860474.677902438,0.9,16974427.210112195,110944.29261954385
1903900012063,MONTERREY,MONTERREY,A/B,32000615.597420655,1.0,32000615.597420655,110633.45360508142
1902600010459,GUADALUPE,GUADALUPE,C+,38669650.710071065,0.9,34802685.63906396,110421.09442036222
1902600012807,GUADALUPE,GUADALUPE,A/B,398492.51168868307,1.0,398492.51168868307,110415.83876603913
1904600011303,SAN NICOLÁS DE LOS GARZA,SAN NICOLÁS DE LOS GARZA,C+,40410308.73293343,0.9,36369277.85964009,110313.58706696323
1903900012152,MONTERREY,MONTERREY,A/B,28348243.394725602,1.0,28348243.394725602,110155.92077502818
1904600011163,SAN NICOLÁS DE LOS GARZA,SAN NICOLÁS DE LOS GARZA,C+,42366265.06728778,0.9,38129638.560559005,109810.87912107534
1904600011549,SAN NICOLÁS DE LOS GARZA,SAN NICOLÁS DE LOS GARZA,C+,38753051.407687254,0.9,34877746.26691853,109461.85625237033
1904600010786,SAN NICOLÁS DE LOS GARZA,SAN NICOLÁS DE LOS GARZA,C+,77199336.33595806,0.9,69479402.70236225,109259.13416368076
1902600012436,GUADALUPE,GUADALUPE,C+,30263751.864246655,0.9,27237376.67782199,109112.17697675871
1904600011290,SAN NICOLÁS DE LOS GARZA,SAN NICOLÁS DE LOS GARZA,C+,42129158.799528666,0.9,37916242.9195758,108674.88717772994
1900600011581,APODACA,CIUDAD APODACA,C+,21337169.64366249,0.9,19203452.67929624,108496.65608915569
1904600010856,SAN NICOLÁS DE LOS GARZA,SAN NICOLÁS DE LOS GARZA,C+,42993354.32325972,0.9,38694018.890933745,108379.76853194438
1902600012756,GUADALUPE,GUADALUPE,A/B,24232636.310173824,1.0,24232636.310173824,108011.75519905238
1904600010127,SAN NICOLÁS DE LOS GARZA,SAN NICOLÁS DE LOS GARZA,C+,51204639.26205835,0.9,46084175.33585251,107720.74052479699
1903900011811,MONTERREY,MONTERREY,C+,53070361.49358104,0.9,47763325.34422294,107718.20002146669
1903900015373,MONTERREY,MONTERREY,A/B,6702483.802330403,1.0,6702483.802330403,107568.03503408749
1903900012260,MONTERREY,MONTERREY,C+,42266968.87452079,0.9,38040271.98706871,107529.57855879833
1903900010974,MONTERREY,MONTERREY,A/B,56905817.3831809,1.0,56905817.3831809,107345.65607744739
1904600011638,SAN NICOLÁS DE LOS GARZA,SAN NICOLÁS DE LOS GARZA,C+,41611606.63470591,0.9,37450445.97123532,107072.9845628894
1904600011587,SAN NICOLÁS DE LOS GARZA,SAN NICOLÁS DE LOS GARZA,C+,21781930.3868909,0.9,19603737.34820181,106912.4856674075
190390001064A,MONTERREY,MONTERREY,C+,36244915.41038329,0.9,32620423.869344965,106724.95555284631
1904600010979,SAN NICOLÁS DE LOS GARZA,SAN NICOLÁS DE LOS GARZA,C+,35421444.034715265,0.9,31879299.63124374,106151.85511566371
1900600010259,APODACA,CIUDAD APODACA,A/B,113052353.19440235,1.0,113052353.19440235,106018.82578095612
1904600011623,SAN NICOLÁS DE LOS GARZA,SAN NICOLÁS DE LOS GARZA,C+,43021001.065115266,0.9,38718900.95860374,105947.89662149684
1904600010945,SAN NICOLÁS DE LOS GARZA,SAN NICOLÁS DE LOS GARZA,C+,50396179.27520596,0.9,45356561.34768537,105941.38890318417
190390001089A,MONTERREY,MONTERREY,C+,45216310.77083057,0.9,40694679.69374751,105911.07489588484
1902600010162,GUADALUPE,GUADALUPE,C+,39445177.73593896,0.9,35500659.96234506,105041.29533271359
1903900014568,MONTERREY,MONTERREY,A/B,5609765.209844023,1.0,5609765.209844023,105008.097790323
1904600011021,SAN NICOLÁS DE LOS GARZA,SAN NICOLÁS DE LOS GARZA,C+,46402891.985899135,0.9,41762602.78730922,104593.1705941462
1902600011902,GUADALUPE,GUADALUPE,C+,26243701.939419437,0.9,23619331.745477494,104376.76954188736
1902100011446,GENERAL ESCOBEDO,CIUDAD GENERAL ESCOBEDO,A/B,9228412.439629344,1.0,9228412.439629344,104199.59131170031
1902600011438,GUADALUPE,GUADALUPE,C+,39323870.97920304,0.9,35391483.88128273,104179.48360979203
1903900010743,MONTERREY,MONTERREY,C+,42513358.258799024,0.9,38262022.43291912,103678.16571877169
1904600011750,SAN NICOLÁS DE LOS GARZA,SAN NICOLÁS DE LOS GARZA,C+,29818456.97344076,0.9,26836611.276096683,103651.3418076687
1903900010739,MONTERREY,MONTERREY,C+,30643162.4142016,0.9,27578846.172781438,103349.08152629565
1904600010184,SAN NICOLÁS DE LOS GARZA,SAN NICOLÁS DE LOS GARZA,C+,84077444.1779904,0.9,75669699.76019137,103314.99477254375
1903900011173,MONTERREY,MONTERREY,A/B,45266318.03541272,1.0,45266318.03541272,103200.97316763551
1902600011993,GUADALUPE,GUADALUPE,C+,38010475.761685826,0.9,34209428.185517244,103159.47857107471
1903900010599,MONTERREY,MONTERREY,A/B,50555521.02323549,1.0,50555521.02323549,102816.98803382322
1901802121756,GARCÍA,MITRAS PONIENTE,A/B,20633494.676407836,1.0,20633494.676407836,102580.70361784477
1904600011074,SAN NICOLÁS DE LOS GARZA,SAN NICOLÁS DE LOS GARZA,C+,58431969.10647653,0.9,52588772.19582888,102335.52592822725
1903900010832,MONTERREY,MONTERREY,C+,26956033.781205807,0.9,24260430.403085228,102125.71388576877
1903900010461,MONTERREY,MONTERREY,C+,39198935.70271659,0.9,35279042.13244493,102048.73272676444
190210001179A,GENERAL ESCOBEDO,CIUDAD GENERAL ESCOBEDO,A/B,7214694.491378268,1.0,7214694.491378268,101856.61654053944
1903900014604,MONTERREY,MONTERREY,A/B,26577046.86553646,1.0,26577046.86553646,101848.8899788255
1903900010654,MONTERREY,MONTERREY,C+,48731701.7482227,0.9,43858531.57340043,101707.60578407034
1903900010457,MONTERREY,MONTERREY,C+,38987100.14103729,0.9,35088390.12693357,101462.85765407687
1902600012008,GUADALUPE,GUADALUPE,A/B,17704026.75375704,1.0,17704026.75375704,101405.51610303264
1903900012006,MONTERREY,MONTERREY,A/B,46024899.689856835,1.0,46024899.689856835,101175.223735247
1900600011280,APODACA,CIUDAD APODACA,C+,23674691.53716372,0.9,21307222.38344735,101173.58945100901
1902100011408,GENERAL ESCOBEDO,CIUDAD GENERAL ESCOBEDO,A/B,78314286.51899716,1.0,78314286.51899716,101154.03293599383
1903900014784,MONTERREY,MONTERREY,A/B,28981705.583863445,1.0,28981705.583863445,100984.46354411091
1902600010567,GUADALUPE,GUADALUPE,C+,34077565.56751722,0.9,30669809.0107655,100825.0521280824
